,adjective,type,url
0,schön,attributive,https://www.lovelybooks.de/autor/Michael-Schmolz/Die-siehst-du--2324034939-w/rezension/2640181628/
1,ergriffen,predicative,https://www.lovelybooks.de/autor/Cornelia-Schäfer/Mein-schwerster-Weg-7624017355-w/rezension/8026186522/
2,anderer,attributive,https://www.lovelybooks.de/autor/Bianca-Iosivoni/Twisted-Fate-Band-1-Wenn-Magie-erwacht-6597648782-w/rezension/10276193895/
3,anderer,attributive,https://www.lovelybooks.de/autor/Mona-Kasten/Begin-Again-1354678664-w/rezension/1431938101/
4,berührend,attributive,https://www.lovelybooks.de/autor/Sajni-Patel/-K-ein-Plan-für-die-Liebe-Liya-Jay-3133187900-w/rezension/3208608338/
5,ganz,attributive,https://www.lovelybooks.de/autor/Simon-Rhys-Beck/Strange-Love-264769402-w/rezension/1088244105/
6,ganz,attributive,https://www.lovelybooks.de/autor/Anna-Benning/To-Tempt-a-God-15456805884-w/rezension/19913531483/
7,gebunden,attributive,https://www.lovelybooks.de/autor/Kathryn-Cristaldi/Ich-lieb-dich-bis-die-Kühe-fliegen-2325512841-w/rezension/2569514284/
8,gesamt,attributive,https://www.lovelybooks.de/autor/Kathryn-Cristaldi/Ich-lieb-dich-bis-die-Kühe-fliegen-2325512841-w/rezension/2569514284/
9,unterhaltsam,attributive,https://www.lovelybooks.de/autor/Lena-Hach/Spuk-im-Kiosk-11073889613-w/rezension/12497535707/
10,vielseitig,attributive,https://www.lovelybooks.de/autor/Joseph-Merrick/Crimson-Teuflische-Besessenheit-1088549346-w/rezension/1092097288/
11,neu,attributive,https://www.lovelybooks.de/autor/Joseph-Merrick/Crimson-Teuflische-Besessenheit-1088549346-w/rezension/1092097288/
12,stern,predicative,https://www.lovelybooks.de/autor/Joseph-Merrick/Crimson-Teuflische-Besessenheit-1088549346-w/rezension/1092097288/
13,ganz,attributive,https://www.lovelybooks.de/autor/Joseph-Merrick/Crimson-Teuflische-Besessenheit-1088549346-w/rezension/1092097288/
14,spannend,attributive,https://www.lovelybooks.de/autor/Ilona-Bulazel/Blutiger-Schein-1506425207-w/rezension/1365690330/
15,toll,attributive,https://www.lovelybooks.de/autor/Larissa-Schira/Stronger-Than-Ever-13101322165-w/rezension/15894964320/
16,hergestellt,attributive,https://www.lovelybooks.de/autor/Felicitas-Horstschäfer/Schattenmonster-1117434567-w/rezension/1117466786/
17,erster,attributive,https://www.lovelybooks.de/autor/Emma-C.-Moore/Timing-is-everything-1570295912-w/rezension/1944215172/
18,gesamt,attributive,https://www.lovelybooks.de/autor/Alexandra-Fuchs/Straßensymphonie-1236506627-w/rezension/1959675354/
19,anderer,attributive,https://www.lovelybooks.de/autor/Dania-Dicken/Jenseits-der-Angst-1322839464-w/rezension/1867555280/
20,toll,predicative,https://www.lovelybooks.de/autor/Nele-Jantzen/Hinter-den-Dünen-Familie-und-weitere-Katastrophen-2983820732-w/rezension/12571235135/
21,gut,predicative,https://www.lovelybooks.de/autor/Stella-Tack/Nights-of-Crowns-Spiel-um-dein-Schicksal-2307423393-w/rezension/3248804552/
22,erster,predicative,https://www.lovelybooks.de/autor/Joy-Fielding/Im-Koma-143585290-w/rezension/1101451146/
23,geeignet,predicative,https://www.lovelybooks.de/autor/Sofia-Caspari/Das-Lied-des-Wasserfalls-1103353281-w/rezension/1103844013/
24,gut,attributive,https://www.lovelybooks.de/autor/Tessa-Randau/Der-Wald-vier-Fragen-das-Leben-und-ich-Von-einer-Begegnung-die-alles-veränderte-2328690996-w/rezension/2627594272/
25,interessant,attributive,https://www.lovelybooks.de/autor/Tessa-Randau/Der-Wald-vier-Fragen-das-Leben-und-ich-Von-einer-Begegnung-die-alles-veränderte-2328690996-w/rezension/2627594272/
26,hilfreich,attributive,https://www.lovelybooks.de/autor/Tessa-Randau/Der-Wald-vier-Fragen-das-Leben-und-ich-Von-einer-Begegnung-die-alles-veränderte-2328690996-w/rezension/2627594272/
27,gesamt,attributive,https://www.lovelybooks.de/autor/Priscille-Sibley/Ich-versprach-dir-die-Liebe-1089817190-w/rezension/1210262580/
28,schlecht,predicative,https://www.lovelybooks.de/autor/Priscille-Sibley/Ich-versprach-dir-die-Liebe-1089817190-w/rezension/1210262580/
29,erschien,attributive,https://www.lovelybooks.de/autor/Julie-Kagawa/Plötzlich-Fee-Sommernacht-498999566-w/rezension/1486709150/
30,letzter,attributive,https://www.lovelybooks.de/autor/Dana-von-Suffrin/Nochmal-von-vorne-10968382232-w/rezension/13443569570/
31,informativ,predicative,https://www.lovelybooks.de/autor/Douglas-Adams/Last-Chance-to-See--143777570-w/rezension/985837414/
32,spannend,predicative,https://www.lovelybooks.de/autor/Douglas-Adams/Last-Chance-to-See--143777570-w/rezension/985837414/
33,mehr,predicative,https://www.lovelybooks.de/autor/Britta-Sabbag/Stolperherz-1434693985-w/rezension/1097693288/
34,erster,attributive,https://www.lovelybooks.de/autor/Michael-Frey-Dodillet/Männer-al-dente-1190831058-w/rezension/1187158211/
35,zweiter,attributive,https://www.lovelybooks.de/autor/Michael-Frey-Dodillet/Männer-al-dente-1190831058-w/rezension/1187158211/
36,erster,attributive,https://www.lovelybooks.de/autor/Michael-Frey-Dodillet/Männer-al-dente-1190831058-w/rezension/1187158211/
