,adjective,type,url
0,langatmig,attributive,https://www.lovelybooks.de/autor/Jonathan-Franzen/Freiheit-344985433-w/rezension/965578382/
1,wider,predicative,https://www.lovelybooks.de/autor/Jonathan-Franzen/Freiheit-344985433-w/rezension/965578382/
2,vorangegangen,attributive,https://www.lovelybooks.de/autor/Bérengère-Cournut/Das-Lied-der-Arktis-2620409538-w/rezension/2819090610/
3,geschrieben,attributive,https://www.lovelybooks.de/autor/Ole-Comet/Udo-das-neunte-Rentier-1353771250-w/rezension/1359948305/
4,vorhanden,predicative,https://www.lovelybooks.de/autor/Micol-Arianna-Beltramini/Heartbreak-Hotel-21879795836-w/rezension/23347391408/
5,informierend,attributive,https://www.lovelybooks.de/autor/Terry-Schott/The-Game-The-Game-is-Life--1021985116-w/rezension/1248586912/
6,allgemein,attributive,https://www.lovelybooks.de/autor/Terry-Schott/The-Game-The-Game-is-Life--1021985116-w/rezension/1248586912/
7,verständlich,attributive,https://www.lovelybooks.de/autor/Gerhard-Aumüller/Duale-Reihe-Anatomie-1348047770-w/rezension/1134003614/
8,hervorgeheben,attributive,https://www.lovelybooks.de/autor/Nicole-Grom/Lotta-und-die-Wunschfabrik-8525115683-w/rezension/9290788583/
9,angemessen,predicative,https://www.lovelybooks.de/autor/Mosae-Nohara/From-the-Red-Fog-1-8989301085-w/rezension/11458769947/
10,übertrieben,predicative,https://www.lovelybooks.de/autor/Mosae-Nohara/From-the-Red-Fog-1-8989301085-w/rezension/11458769947/
11,eingängig,attributive,https://www.lovelybooks.de/autor/Cornelia-Boese/Wenn-es-Winter-wird-und-schneit-12678982408-w/rezension/21476976589/
12,nachdenklich,attributive,https://www.lovelybooks.de/autor/Ilka-(Hrsg)-Osenberg--van-Vugt-/Waldgeflüster-1453966152-w/rezension/1468354864/
13,kurz,attributive,https://www.lovelybooks.de/autor/Ilka-(Hrsg)-Osenberg--van-Vugt-/Waldgeflüster-1453966152-w/rezension/1468354864/
14,tübinger,attributive,https://www.lovelybooks.de/autor/Leonie-Müller/Tausche-Wohnung-gegen-BahnCard-1499690594-w/rezension/1971840021/
15,jeweilig,attributive,https://www.lovelybooks.de/autor/Internat.-Jugendbibliothek/Der-Kinder-Kalender-2025-Mit-53-Gedichten-und-Bildern-aus-der-ganzen-Welt-15889525432-w/rezension/16890485628/
16,kreativ,attributive,https://www.lovelybooks.de/autor/Lara-Kalenborn/Into-wild-Woods-Survival-Trip-für-eine-Hexe-4253994774-w/rezension/6557876304/
17,klein,attributive,https://www.lovelybooks.de/autor/Frauke-Nahrgang/Edition-Piepmatz-Fahren-Fliegen-Rollen-3010074059-w/rezension/4561697469/
18,verständlich,predicative,https://www.lovelybooks.de/autor/Mireille-Messier/Nichts-los-im-Wald-2569333797-w/rezension/2702097059/
19,klein,attributive,https://www.lovelybooks.de/autor/Annette-Moser/Weihnachtszeit-Bald-ist-s-so-weit-8966752347-w/rezension/11365846256/
20,leicht,attributive,https://www.lovelybooks.de/autor/Deborah-Underwood/Gestatten-die-Osterkatze--1207627696-w/rezension/18950114249/
21,unterhaltsam,attributive,https://www.lovelybooks.de/autor/Ariane-Schwörer/Your-Style-1449758284-w/rezension/1566742171/
22,vorhanden,predicative,https://www.lovelybooks.de/autor/Inga-Borg/Plupp-baut-ein-Haus-1901248402-w/rezension/1982983676/
23,schwer,attributive,https://www.lovelybooks.de/autor/Inga-Borg/Plupp-baut-ein-Haus-1901248402-w/rezension/1982983676/
24,schwer,predicative,https://www.lovelybooks.de/autor/Inga-Borg/Plupp-baut-ein-Haus-1901248402-w/rezension/1982983676/
25,lang,predicative,https://www.lovelybooks.de/autor/Anne-Rummenie/Die-Lese-Rakete-21546403832-w/rezension/23933052763/
26,schwierig,predicative,https://www.lovelybooks.de/autor/Anne-Rummenie/Die-Lese-Rakete-21546403832-w/rezension/23933052763/
27,gering,attributive,https://www.lovelybooks.de/autor/Jane-Austen/Emma-Die-Graphic-Novel-nach-Jane-Austen-19143977722-w/rezension/20396809362/
28,ruhig,attributive,https://www.lovelybooks.de/autor/Kent-Haruf/Unsere-Seelen-bei-Nacht-1363231784-w/rezension/2434785846/
29,klingend,attributive,https://www.lovelybooks.de/autor/Kent-Haruf/Unsere-Seelen-bei-Nacht-1363231784-w/rezension/2434785846/
30,klein,attributive,https://www.lovelybooks.de/autor/Lucy-Brownridge/Durch-das-Jahr-mit-der-Natur-10503605590-w/rezension/12718233290/
31,erklärend,attributive,https://www.lovelybooks.de/autor/Lucy-Brownridge/Durch-das-Jahr-mit-der-Natur-10503605590-w/rezension/12718233290/
32,klar,predicative,https://www.lovelybooks.de/autor/Anna-Kirsche/Mensch-fragt-und-KI-antwortet-Band-2-Liebe-Beziehung-Mensch-fragt-KI-antwortet--20187272475-w/rezension/22594422418/
